subject,honorific,tense,person,gender,animate,number,verb_root,is_correct
3rd_person,y,වර්තමාන,ප්‍රථම,ස්ත්‍රී,ප්‍රාණවාචි,බහු,අති,1
3rd_person,y,අනාගත,ප්‍රථම,ස්ත්‍රී,ප්‍රාණවාචි,බහු,අති,1
3rd_person,y,වර්තමාන,ප්‍රථම,ස්ත්‍රී,ප්‍රාණවාචි,බහු,අමි,0
3rd_person,y,වර්තමාන,ප්‍රථම,ස්ත්‍රී,ප්‍රාණවාචි,බහු,අමු,0
3rd_person,y,වර්තමාන,ප්‍රථම,ස්ත්‍රී,ප්‍රාණවාචි,බහු,අයි,0
3rd_person,y,වර්තමාන,ප්‍රථම,ස්ත්‍රී,ප්‍රාණවාචි,බහු,අහු,0
3rd_person,y,අතීත,ප්‍රථම,ස්ත්‍රී,ප්‍රාණවාචි,බහු,ආය,0
3rd_person,y,අතීත,ප්‍රථම,ස්ත්‍රී,ප්‍රාණවාචි,බහු,ආහ,1
3rd_person,y,වර්තමාන,ප්‍රථම,ස්ත්‍රී,ප්‍රාණවාචි,බහු,ඊය,0
3rd_person,y,වර්තමාන,ප්‍රථම,ස්ත්‍රී,ප්‍රාණවාචි,බහු,එහි,0
අපි,n,වර්තමාන,උත්තම,නොමැත,ප්‍රාණවාචි,බහු,අති,0
අපි,n,අනාගත,උත්තම,නොමැත,ප්‍රාණවාචි,බහු,අන්නෙමු,1
අපි,n,වර්තමාන,උත්තම,නොමැත,ප්‍රාණවාචි,බහු,අමි,0
අපි,n,වර්තමාන,උත්තම,නොමැත,ප්‍රාණවාචි,බහු,අමු,1
අපි,n,වර්තමාන,උත්තම,නොමැත,ප්‍රාණවාචි,බහු,අයි,0
අපි,n,වර්තමාන,උත්තම,නොමැත,ප්‍රාණවාචි,බහු,අහ,0
අපි,n,වර්තමාන,උත්තම,නොමැත,ප්‍රාණවාචි,බහු,අහු,0
අපි,n,වර්තමාන,උත්තම,නොමැත,ප්‍රාණවාචි,බහු,ආය,0
අපි,n,වර්තමාන,උත්තම,නොමැත,ප්‍රාණවාචි,බහු,ආහ,0
අපි,n,වර්තමාන,උත්තම,නොමැත,ප්‍රාණවාචි,බහු,ඉති,0
අපි,n,වර්තමාන,උත්තම,නොමැත,ප්‍රාණවාචි,බහු,ඊය,0
අපි,n,වර්තමාන,උත්තම,නොමැත,ප්‍රාණවාචි,බහු,ඊහ,0
අපි,n,වර්තමාන,උත්තම,නොමැත,ප්‍රාණවාචි,බහු,ඌහ,0
අපි,n,වර්තමාන,උත්තම,නොමැත,ප්‍රාණවාචි,බහු,එති,0
අපි,n,වර්තමාන,උත්තම,නොමැත,ප්‍රාණවාචි,බහු,එමි,0
අපි,n,අතීත,උත්තම,නොමැත,ප්‍රාණවාචි,බහු,එමි,0
අපි,n,අතීත,උත්තම,නොමැත,ප්‍රාණවාචි,බහු,එමු,1
අපි,n,වර්තමාන,උත්තම,නොමැත,ප්‍රාණවාචි,බහු,එමු,0
අපි,n,වර්තමාන,උත්තම,නොමැත,ප්‍රාණවාචි,බහු,එහි,0
අපි,n,වර්තමාන,උත්තම,නොමැත,ප්‍රාණවාචි,බහු,එහු,0
අපි,n,වර්තමාන,උත්තම,නොමැත,ප්‍රාණවාචි,බහු,ඒය,0
අපි,n,අතීත,උත්තම,නොමැත,ප්‍රාණවාචි,බහු,ඒය,0
අපි,n,වර්තමාන,උත්තම,නොමැත,ප්‍රාණවාචි,බහු,ඕය,0
3rd_person,y,වර්තමාන,ප්‍රථම,ස්ත්‍රී,ප්‍රාණවාචි,බහු,අති,1
3rd_person,y,අනාගත,ප්‍රථම,ස්ත්‍රී,ප්‍රාණවාචි,බහු,අති,1
3rd_person,y,වර්තමාන,ප්‍රථම,ස්ත්‍රී,ප්‍රාණවාචි,බහු,අමි,0
3rd_person,y,වර්තමාන,ප්‍රථම,ස්ත්‍රී,ප්‍රාණවාචි,බහු,අමු,0
3rd_person,y,වර්තමාන,ප්‍රථම,ස්ත්‍රී,ප්‍රාණවාචි,බහු,අයි,0
3rd_person,y,අතීත,ප්‍රථම,ස්ත්‍රී,ප්‍රාණවාචි,බහු,අයි,0
3rd_person,y,වර්තමාන,ප්‍රථම,ස්ත්‍රී,ප්‍රාණවාචි,බහු,අහු,0
3rd_person,y,අතීත,ප්‍රථම,ස්ත්‍රී,ප්‍රාණවාචි,බහු,ආහ,1
3rd_person,y,වර්තමාන,ප්‍රථම,ස්ත්‍රී,ප්‍රාණවාචි,බහු,ඊය,0
3rd_person,y,වර්තමාන,ප්‍රථම,ස්ත්‍රී,ප්‍රාණවාචි,බහු,එහි,0
3rd_person,n,අනාගත,ප්‍රථම,ස්ත්‍රී,ප්‍රාණවාචි,ඒක,අන්නාය,1
3rd_person,n,වර්තමාන,ප්‍රථම,ස්ත්‍රී,ප්‍රාණවාචි,ඒක,අයි,1
3rd_person,n,අතීත,ප්‍රථම,ස්ත්‍රී,ප්‍රාණවාචි,ඒක,අහ,1
3rd_person,n,අතීත,ප්‍රථම,ස්ත්‍රී,ප්‍රාණවාචි,ඒක,ආය,0
3rd_person,n,වර්තමාන,ප්‍රථම,ස්ත්‍රී,ප්‍රාණවාචි,ඒක,ඊය,1
3rd_person,n,වර්තමාන,ප්‍රථම,නොමැත,ප්‍රාණවාචි,බහු,අති,1
3rd_person,n,අනාගත,ප්‍රථම,නොමැත,ප්‍රාණවාචි,බහු,අති,1
3rd_person,n,වර්තමාන,ප්‍රථම,නොමැත,ප්‍රාණවාචි,බහු,අමි,0
3rd_person,n,වර්තමාන,ප්‍රථම,නොමැත,ප්‍රාණවාචි,බහු,අමු,0
3rd_person,n,වර්තමාන,ප්‍රථම,නොමැත,ප්‍රාණවාචි,බහු,අයි,0
3rd_person,n,අතීත,ප්‍රථම,නොමැත,ප්‍රාණවාචි,බහු,අහ,1
3rd_person,n,වර්තමාන,ප්‍රථම,නොමැත,ප්‍රාණවාචි,බහු,අහ,1
3rd_person,n,වර්තමාන,ප්‍රථම,නොමැත,ප්‍රාණවාචි,බහු,අහු,0
3rd_person,n,වර්තමාන,ප්‍රථම,නොමැත,ප්‍රාණවාචි,බහු,ආය,0
3rd_person,n,වර්තමාන,ප්‍රථම,නොමැත,ප්‍රාණවාචි,බහු,ආහ,1
3rd_person,n,වර්තමාන,ප්‍රථම,නොමැත,ප්‍රාණවාචි,බහු,ඉති,1
3rd_person,n,වර්තමාන,ප්‍රථම,නොමැත,ප්‍රාණවාචි,බහු,ඊය,0
3rd_person,n,වර්තමාන,ප්‍රථම,නොමැත,ප්‍රාණවාචි,බහු,ඊහ,1
3rd_person,n,වර්තමාන,ප්‍රථම,නොමැත,ප්‍රාණවාචි,බහු,ඌහ,1
3rd_person,n,වර්තමාන,ප්‍රථම,නොමැත,ප්‍රාණවාචි,බහු,එති,1
3rd_person,n,වර්තමාන,ප්‍රථම,නොමැත,ප්‍රාණවාචි,බහු,එමි,0
3rd_person,n,වර්තමාන,ප්‍රථම,නොමැත,ප්‍රාණවාචි,බහු,එමු,0
3rd_person,n,වර්තමාන,ප්‍රථම,නොමැත,ප්‍රාණවාචි,බහු,එහි,0
3rd_person,n,වර්තමාන,ප්‍රථම,නොමැත,ප්‍රාණවාචි,බහු,එහු,0
3rd_person,n,අතීත,ප්‍රථම,නොමැත,ප්‍රාණවාචි,බහු,ඒය,0
3rd_person,n,වර්තමාන,ප්‍රථම,නොමැත,ප්‍රාණවාචි,බහු,ඒය,0
3rd_person,n,වර්තමාන,ප්‍රථම,නොමැත,ප්‍රාණවාචි,බහු,ඕය,1
3rd_person,n,වර්තමාන,ප්‍රථම,නොමැත,ප්‍රාණවාචි,බහු,අති,1
3rd_person,n,අනාගත,ප්‍රථම,නොමැත,ප්‍රාණවාචි,බහු,අති,1
3rd_person,n,වර්තමාන,ප්‍රථම,නොමැත,ප්‍රාණවාචි,බහු,අමි,0
3rd_person,n,වර්තමාන,ප්‍රථම,නොමැත,ප්‍රාණවාචි,බහු,අමු,0
3rd_person,n,වර්තමාන,ප්‍රථම,නොමැත,ප්‍රාණවාචි,බහු,අයි,0
3rd_person,n,වර්තමාන,ප්‍රථම,නොමැත,ප්‍රාණවාචි,බහු,අහ,1
3rd_person,n,වර්තමාන,ප්‍රථම,නොමැත,ප්‍රාණවාචි,බහු,අහු,0
3rd_person,n,වර්තමාන,ප්‍රථම,නොමැත,ප්‍රාණවාචි,බහු,ආය,0
3rd_person,n,වර්තමාන,ප්‍රථම,නොමැත,ප්‍රාණවාචි,බහු,ආහ,1
3rd_person,n,වර්තමාන,ප්‍රථම,නොමැත,ප්‍රාණවාචි,බහු,ඉති,1
3rd_person,n,වර්තමාන,ප්‍රථම,නොමැත,ප්‍රාණවාචි,බහු,ඊය,0
3rd_person,n,වර්තමාන,ප්‍රථම,නොමැත,ප්‍රාණවාචි,බහු,ඊහ,1
3rd_person,n,වර්තමාන,ප්‍රථම,නොමැත,ප්‍රාණවාචි,බහු,ඌහ,1
3rd_person,n,අතීත,ප්‍රථම,නොමැත,ප්‍රාණවාචි,බහු,එති,1
3rd_person,n,වර්තමාන,ප්‍රථම,නොමැත,ප්‍රාණවාචි,බහු,එති,1
3rd_person,n,වර්තමාන,ප්‍රථම,නොමැත,ප්‍රාණවාචි,බහු,එමි,0
3rd_person,n,වර්තමාන,ප්‍රථම,නොමැත,ප්‍රාණවාචි,බහු,එමු,0
3rd_person,n,වර්තමාන,ප්‍රථම,නොමැත,ප්‍රාණවාචි,බහු,එහි,0
3rd_person,n,වර්තමාන,ප්‍රථම,නොමැත,ප්‍රාණවාචි,බහු,එහු,0
3rd_person,n,අතීත,ප්‍රථම,නොමැත,ප්‍රාණවාචි,බහු,ඒය,0
3rd_person,n,වර්තමාන,ප්‍රථම,නොමැත,ප්‍රාණවාචි,බහු,ඒය,0
3rd_person,n,වර්තමාන,ප්‍රථම,නොමැත,ප්‍රාණවාචි,බහු,ඕය,1
3rd_person,n,වර්තමාන,ප්‍රථම,නොමැත,ප්‍රාණවාචි,බහු,අති,1
3rd_person,n,අනාගත,ප්‍රථම,නොමැත,ප්‍රාණවාචි,බහු,අති,1
3rd_person,n,වර්තමාන,ප්‍රථම,නොමැත,ප්‍රාණවාචි,බහු,අමි,0
3rd_person,n,වර්තමාන,ප්‍රථම,නොමැත,ප්‍රාණවාචි,බහු,අමු,0
3rd_person,n,වර්තමාන,ප්‍රථම,නොමැත,ප්‍රාණවාචි,බහු,අයි,0
3rd_person,n,අතීත,ප්‍රථම,නොමැත,ප්‍රාණවාචි,බහු,අහ,1
3rd_person,n,වර්තමාන,ප්‍රථම,නොමැත,ප්‍රාණවාචි,බහු,අහ,1
3rd_person,n,වර්තමාන,ප්‍රථම,නොමැත,ප්‍රාණවාචි,බහු,අහු,0
3rd_person,n,වර්තමාන,ප්‍රථම,නොමැත,ප්‍රාණවාචි,බහු,ආය,0
3rd_person,n,වර්තමාන,ප්‍රථම,නොමැත,ප්‍රාණවාචි,බහු,ආහ,1
3rd_person,n,වර්තමාන,ප්‍රථම,නොමැත,ප්‍රාණවාචි,බහු,ඉති,1
3rd_person,n,වර්තමාන,ප්‍රථම,නොමැත,ප්‍රාණවාචි,බහු,ඊය,0
3rd_person,n,වර්තමාන,ප්‍රථම,නොමැත,ප්‍රාණවාචි,බහු,ඊහ,1
3rd_person,n,වර්තමාන,ප්‍රථම,නොමැත,ප්‍රාණවාචි,බහු,ඌහ,1
3rd_person,n,වර්තමාන,ප්‍රථම,නොමැත,ප්‍රාණවාචි,බහු,එති,1
3rd_person,n,වර්තමාන,ප්‍රථම,නොමැත,ප්‍රාණවාචි,බහු,එමි,0
3rd_person,n,වර්තමාන,ප්‍රථම,නොමැත,ප්‍රාණවාචි,බහු,එමු,0
3rd_person,n,වර්තමාන,ප්‍රථම,නොමැත,ප්‍රාණවාචි,බහු,එහි,0
3rd_person,n,වර්තමාන,ප්‍රථම,නොමැත,ප්‍රාණවාචි,බහු,එහු,0
3rd_person,n,අතීත,ප්‍රථම,නොමැත,ප්‍රාණවාචි,බහු,ඒය,0
3rd_person,n,වර්තමාන,ප්‍රථම,නොමැත,ප්‍රාණවාචි,බහු,ඒය,0
3rd_person,n,වර්තමාන,ප්‍රථම,නොමැත,ප්‍රාණවාචි,බහු,ඕය,1
3rd_person,n,වර්තමාන,ප්‍රථම,ස්ත්‍රී,ප්‍රාණවාචි,ඒක,අති,0
3rd_person,n,අතීත,ප්‍රථම,ස්ත්‍රී,ප්‍රාණවාචි,ඒක,අති,0
3rd_person,n,අනාගත,ප්‍රථම,ස්ත්‍රී,ප්‍රාණවාචි,ඒක,අන්නාය,1
3rd_person,n,වර්තමාන,ප්‍රථම,ස්ත්‍රී,ප්‍රාණවාචි,ඒක,අමි,0
3rd_person,n,වර්තමාන,ප්‍රථම,ස්ත්‍රී,ප්‍රාණවාචි,ඒක,අමු,0
3rd_person,n,වර්තමාන,ප්‍රථම,ස්ත්‍රී,ප්‍රාණවාචි,ඒක,අයි,1
3rd_person,n,වර්තමාන,ප්‍රථම,ස්ත්‍රී,ප්‍රාණවාචි,ඒක,අහ,0
3rd_person,n,වර්තමාන,ප්‍රථම,ස්ත්‍රී,ප්‍රාණවාචි,ඒක,අහු,0
3rd_person,n,අතීත,ප්‍රථම,ස්ත්‍රී,ප්‍රාණවාචි,ඒක,අහු,0
3rd_person,n,අතීත,ප්‍රථම,ස්ත්‍රී,ප්‍රාණවාචි,ඒක,ආය,1
3rd_person,n,වර්තමාන,ප්‍රථම,ස්ත්‍රී,ප්‍රාණවාචි,ඒක,ආය,0
3rd_person,n,වර්තමාන,ප්‍රථම,ස්ත්‍රී,ප්‍රාණවාචි,ඒක,ආහ,0
3rd_person,n,වර්තමාන,ප්‍රථම,ස්ත්‍රී,ප්‍රාණවාචි,ඒක,ඉති,0
3rd_person,n,වර්තමාන,ප්‍රථම,ස්ත්‍රී,ප්‍රාණවාචි,ඒක,ඊය,1
3rd_person,n,වර්තමාන,ප්‍රථම,ස්ත්‍රී,ප්‍රාණවාචි,ඒක,ඊහ,0
3rd_person,n,වර්තමාන,ප්‍රථම,ස්ත්‍රී,ප්‍රාණවාචි,ඒක,ඌහ,0
3rd_person,n,වර්තමාන,ප්‍රථම,ස්ත්‍රී,ප්‍රාණවාචි,ඒක,එති,0
3rd_person,n,වර්තමාන,ප්‍රථම,ස්ත්‍රී,ප්‍රාණවාචි,ඒක,එමි,0
3rd_person,n,වර්තමාන,ප්‍රථම,ස්ත්‍රී,ප්‍රාණවාචි,ඒක,එමු,0
3rd_person,n,වර්තමාන,ප්‍රථම,ස්ත්‍රී,ප්‍රාණවාචි,ඒක,එහි,0
3rd_person,n,වර්තමාන,ප්‍රථම,ස්ත්‍රී,ප්‍රාණවාචි,ඒක,එහු,0
3rd_person,n,වර්තමාන,ප්‍රථම,ස්ත්‍රී,ප්‍රාණවාචි,ඒක,ඒය,0
3rd_person,n,වර්තමාන,ප්‍රථම,ස්ත්‍රී,ප්‍රාණවාචි,ඒක,ඕය,0
3rd_person,n,අතීත,ප්‍රථම,ස්ත්‍රී,ප්‍රාණවාචි,ඒක,ඕය,0
3rd_person,n,වර්තමාන,ප්‍රථම,ස්ත්‍රී,ප්‍රාණවාචි,ඒක,අති,0
3rd_person,n,අතීත,ප්‍රථම,ස්ත්‍රී,ප්‍රාණවාචි,ඒක,අති,0
3rd_person,n,අනාගත,ප්‍රථම,ස්ත්‍රී,ප්‍රාණවාචි,ඒක,අන්නාය,1
3rd_person,n,වර්තමාන,ප්‍රථම,ස්ත්‍රී,ප්‍රාණවාචි,ඒක,අමි,0
3rd_person,n,වර්තමාන,ප්‍රථම,ස්ත්‍රී,ප්‍රාණවාචි,ඒක,අමු,0
3rd_person,n,වර්තමාන,ප්‍රථම,ස්ත්‍රී,ප්‍රාණවාචි,ඒක,අයි,1
3rd_person,n,වර්තමාන,ප්‍රථම,ස්ත්‍රී,ප්‍රාණවාචි,ඒක,අහ,0
3rd_person,n,වර්තමාන,ප්‍රථම,ස්ත්‍රී,ප්‍රාණවාචි,ඒක,අහු,0
3rd_person,n,අතීත,ප්‍රථම,ස්ත්‍රී,ප්‍රාණවාචි,ඒක,ආය,1
3rd_person,n,වර්තමාන,ප්‍රථම,ස්ත්‍රී,ප්‍රාණවාචි,ඒක,ආය,0
3rd_person,n,වර්තමාන,ප්‍රථම,ස්ත්‍රී,ප්‍රාණවාචි,ඒක,ආහ,0
3rd_person,n,වර්තමාන,ප්‍රථම,ස්ත්‍රී,ප්‍රාණවාචි,ඒක,ඉති,0
3rd_person,n,වර්තමාන,ප්‍රථම,ස්ත්‍රී,ප්‍රාණවාචි,ඒක,ඊය,1
3rd_person,n,වර්තමාන,ප්‍රථම,ස්ත්‍රී,ප්‍රාණවාචි,ඒක,ඊහ,0
3rd_person,n,වර්තමාන,ප්‍රථම,ස්ත්‍රී,ප්‍රාණවාචි,ඒක,ඌහ,0
3rd_person,n,වර්තමාන,ප්‍රථම,ස්ත්‍රී,ප්‍රාණවාචි,ඒක,එති,0
3rd_person,n,වර්තමාන,ප්‍රථම,ස්ත්‍රී,ප්‍රාණවාචි,ඒක,එමි,0
3rd_person,n,වර්තමාන,ප්‍රථම,ස්ත්‍රී,ප්‍රාණවාචි,ඒක,එමු,0
3rd_person,n,වර්තමාන,ප්‍රථම,ස්ත්‍රී,ප්‍රාණවාචි,ඒක,එහි,0
3rd_person,n,වර්තමාන,ප්‍රථම,ස්ත්‍රී,ප්‍රාණවාචි,ඒක,එහු,0
3rd_person,n,වර්තමාන,ප්‍රථම,ස්ත්‍රී,ප්‍රාණවාචි,ඒක,ඒය,0
3rd_person,n,වර්තමාන,ප්‍රථම,ස්ත්‍රී,ප්‍රාණවාචි,ඒක,ඕය,0
ඔබ,n,වර්තමාන,මධ්‍යම,නොමැත,ප්‍රාණවාචි,ඒක,අති,0
ඔබ,n,අනාගත,මධ්‍යම,නොමැත,ප්‍රාණවාචි,ඒක,අන්නෙහි,1
ඔබ,n,වර්තමාන,මධ්‍යම,නොමැත,ප්‍රාණවාචි,ඒක,අමි,0
ඔබ,n,වර්තමාන,මධ්‍යම,නොමැත,ප්‍රාණවාචි,ඒක,අමු,0
ඔබ,n,වර්තමාන,මධ්‍යම,නොමැත,ප්‍රාණවාචි,ඒක,අයි,0
ඔබ,n,වර්තමාන,මධ්‍යම,නොමැත,ප්‍රාණවාචි,ඒක,අහ,0
ඔබ,n,වර්තමාන,මධ්‍යම,නොමැත,ප්‍රාණවාචි,ඒක,අහු,0
ඔබ,n,වර්තමාන,මධ්‍යම,නොමැත,ප්‍රාණවාචි,ඒක,ආය,0
ඔබ,n,වර්තමාන,මධ්‍යම,නොමැත,ප්‍රාණවාචි,ඒක,ආහ,0
ඔබ,n,වර්තමාන,මධ්‍යම,නොමැත,ප්‍රාණවාචි,ඒක,ඉති,0
ඔබ,n,වර්තමාන,මධ්‍යම,නොමැත,ප්‍රාණවාචි,ඒක,ඊය,0
ඔබ,n,වර්තමාන,මධ්‍යම,නොමැත,ප්‍රාණවාචි,ඒක,ඊහ,0
ඔබ,n,වර්තමාන,මධ්‍යම,නොමැත,ප්‍රාණවාචි,ඒක,ඌහ,0
ඔබ,n,වර්තමාන,මධ්‍යම,නොමැත,ප්‍රාණවාචි,ඒක,එති,0
ඔබ,n,වර්තමාන,මධ්‍යම,නොමැත,ප්‍රාණවාචි,ඒක,එමි,0
ඔබ,n,වර්තමාන,මධ්‍යම,නොමැත,ප්‍රාණවාචි,ඒක,එමු,0
ඔබ,n,වර්තමාන,මධ්‍යම,නොමැත,ප්‍රාණවාචි,ඒක,එහි,1
ඔබ,n,අතීත,මධ්‍යම,නොමැත,ප්‍රාණවාචි,ඒක,එහි,1
ඔබ,n,වර්තමාන,මධ්‍යම,නොමැත,ප්‍රාණවාචි,ඒක,එහු,0
ඔබ,n,අතීත,මධ්‍යම,නොමැත,ප්‍රාණවාචි,ඒක,එහු,0
ඔබ,n,වර්තමාන,මධ්‍යම,නොමැත,ප්‍රාණවාචි,ඒක,ඒය,0
